Id;Date;Begin;End;Distance(m);Speed(km/h)
37;06/07/2023;17:36:35;17:36:39;6.46;23.25
26;06/07/2023;17:36:35;17:36:39;0.06;0.21
28;06/07/2023;17:36:36;17:36:40;0.04;0.13
25;06/07/2023;17:36:38;17:36:41;0.50;1.81
31;06/07/2023;17:36:38;17:36:42;0.52;1.87
34;06/07/2023;17:36:38;17:36:42;0.16;0.57
35;06/07/2023;17:36:38;17:36:42;0.94;3.37
37;06/07/2023;17:36:39;17:36:42;3.92;14.12
26;06/07/2023;17:36:39;17:36:43;0.37;1.33
28;06/07/2023;17:36:40;17:36:43;0.69;2.48
39;06/07/2023;17:36:41;17:36:45;7.57;27.24
35;06/07/2023;17:36:42;17:36:46;2.06;7.41
37;06/07/2023;17:36:42;17:36:46;1.82;6.55
26;06/07/2023;17:36:43;17:36:46;2.05;7.39
28;06/07/2023;17:36:43;17:36:47;3.03;10.89
39;06/07/2023;17:36:45;17:36:48;7.92;28.52
35;06/07/2023;17:36:46;17:36:49;3.98;14.31
40;06/07/2023;17:36:46;17:36:49;5.68;20.46
37;06/07/2023;17:36:46;17:36:50;1.90;6.83
26;06/07/2023;17:36:46;17:36:50;3.55;12.78
28;06/07/2023;17:36:47;17:36:51;4.78;17.21
39;06/07/2023;17:36:48;17:36:52;5.74;20.67
35;06/07/2023;17:36:49;17:36:53;3.41;12.29
40;06/07/2023;17:36:49;17:36:53;1.33;4.80
37;06/07/2023;17:36:50;17:36:54;0.50;1.81
41;06/07/2023;17:36:51;17:36:54;4.26;15.34
42;06/07/2023;17:36:51;17:36:54;11.91;42.87
28;06/07/2023;17:36:51;17:36:55;4.43;15.95
43;06/07/2023;17:36:52;17:36:56;0.22;0.77
39;06/07/2023;17:36:52;17:36:56;5.48;19.72
35;06/07/2023;17:36:53;17:36:57;4.13;14.88
40;06/07/2023;17:36:53;17:36:57;2.97;10.70
45;06/07/2023;17:36:54;17:36:58;3.71;13.35
37;06/07/2023;17:36:54;17:36:58;0.52;1.86
41;06/07/2023;17:36:54;17:36:58;4.54;16.36
42;06/07/2023;17:36:54;17:36:59;14.74;53.05
46;06/07/2023;17:36:55;17:36:59;22.71;81.76
43;06/07/2023;17:36:56;17:37:00;0.32;1.16
39;06/07/2023;17:36:56;17:37:01;5.04;18.15
35;06/07/2023;17:36:57;17:37:02;5.65;20.35
47;06/07/2023;17:36:57;17:37:02;3.48;12.53
45;06/07/2023;17:36:58;17:37:02;0.48;1.74
37;06/07/2023;17:36:58;17:37:02;0.44;1.58
41;06/07/2023;17:36:58;17:37:03;5.84;21.02
42;06/07/2023;17:36:59;17:37:03;14.91;53.66
46;06/07/2023;17:36:59;17:37:04;22.26;80.15
43;06/07/2023;17:37:00;17:37:04;2.61;9.40
39;06/07/2023;17:37:01;17:37:05;7.08;25.47
35;06/07/2023;17:37:02;17:37:06;7.26;26.12
47;06/07/2023;17:37:02;17:37:06;5.55;19.98
45;06/07/2023;17:37:02;17:37:06;0.72;2.58
37;06/07/2023;17:37:02;17:37:07;0.29;1.05
41;06/07/2023;17:37:03;17:37:07;4.31;15.52
42;06/07/2023;17:37:03;17:37:07;15.61;56.18
46;06/07/2023;17:37:04;17:37:08;21.79;78.43
43;06/07/2023;17:37:04;17:37:09;3.77;13.58
39;06/07/2023;17:37:05;17:37:09;6.93;24.95
47;06/07/2023;17:37:06;17:37:10;6.64;23.89
37;06/07/2023;17:37:07;17:37:10;0.27;0.96
42;06/07/2023;17:37:07;17:37:11;15.57;56.06
46;06/07/2023;17:37:08;17:37:12;24.63;88.69
43;06/07/2023;17:37:09;17:37:12;5.48;19.74
39;06/07/2023;17:37:09;17:37:13;8.29;29.85
47;06/07/2023;17:37:10;17:37:14;7.04;25.34
37;06/07/2023;17:37:10;17:37:14;3.42;12.32
42;06/07/2023;17:37:11;17:37:15;15.03;54.12
43;06/07/2023;17:37:12;17:37:16;6.03;21.69
39;06/07/2023;17:37:13;17:37:16;7.41;26.69
42;06/07/2023;17:37:15;17:37:18;16.25;58.52
43;06/07/2023;17:37:16;17:37:20;6.95;25.02
48;06/07/2023;17:37:16;17:37:20;14.47;52.08
49;06/07/2023;17:37:18;17:37:21;3.74;13.46
50;06/07/2023;17:37:19;17:37:23;11.46;41.25
43;06/07/2023;17:37:20;17:37:23;7.12;25.65
48;06/07/2023;17:37:20;17:37:23;13.56;48.80
51;06/07/2023;17:37:20;17:37:24;22.29;80.25
49;06/07/2023;17:37:21;17:37:25;4.56;16.42
52;06/07/2023;17:37:23;17:37:26;6.06;21.80
50;06/07/2023;17:37:23;17:37:26;12.51;45.03
48;06/07/2023;17:37:23;17:37:27;10.18;36.63
51;06/07/2023;17:37:24;17:37:28;24.62;88.62
49;06/07/2023;17:37:25;17:37:29;5.68;20.45
52;06/07/2023;17:37:26;17:37:30;7.22;25.98
50;06/07/2023;17:37:26;17:37:30;12.89;46.42
53;06/07/2023;17:37:27;17:37:30;8.66;31.19
51;06/07/2023;17:37:28;17:37:32;25.30;91.08
49;06/07/2023;17:37:29;17:37:33;6.75;24.28
52;06/07/2023;17:37:30;17:37:34;7.42;26.70
54;06/07/2023;17:37:30;17:37:34;12.62;45.45
50;06/07/2023;17:37:30;17:37:34;13.93;50.16
51;06/07/2023;17:37:32;17:37:35;26.57;95.64
49;06/07/2023;17:37:33;17:37:36;8.07;29.06
52;06/07/2023;17:37:34;17:37:38;7.08;25.50
54;06/07/2023;17:37:34;17:37:38;13.07;47.05
49;06/07/2023;17:37:36;17:37:40;9.35;33.68
52;06/07/2023;17:37:38;17:37:41;6.12;22.05
54;06/07/2023;17:37:38;17:37:41;13.00;46.80
55;06/07/2023;17:37:40;17:37:43;13.31;47.91
49;06/07/2023;17:37:40;17:37:43;11.00;39.61
56;06/07/2023;17:37:42;17:37:46;10.56;38.00
55;06/07/2023;17:37:43;17:37:46;15.01;54.03
57;06/07/2023;17:37:43;17:37:47;7.41;26.68
49;06/07/2023;17:37:43;17:37:47;11.27;40.56
56;06/07/2023;17:37:46;17:37:49;10.93;39.36
55;06/07/2023;17:37:46;17:37:50;15.08;54.30
57;06/07/2023;17:37:47;17:37:50;7.30;26.28
56;06/07/2023;17:37:49;17:37:52;11.77;42.37
55;06/07/2023;17:37:50;17:37:53;12.29;44.25
57;06/07/2023;17:37:50;17:37:54;10.99;39.56
58;06/07/2023;17:37:51;17:37:54;9.08;32.68
56;06/07/2023;17:37:52;17:37:56;13.03;46.91
57;06/07/2023;17:37:54;17:37:57;12.08;43.50
58;06/07/2023;17:37:54;17:37:58;8.52;30.69
56;06/07/2023;17:37:56;17:37:59;13.24;47.67
57;06/07/2023;17:37:57;17:38:00;13.49;48.55
59;06/07/2023;17:37:58;17:38:02;10.08;36.28
56;06/07/2023;17:37:59;17:38:03;15.38;55.37
57;06/07/2023;17:38:00;17:38:04;12.15;43.75
59;06/07/2023;17:38:02;17:38:06;11.40;41.04
56;06/07/2023;17:38:03;17:38:07;16.51;59.43
60;06/07/2023;17:38:04;17:38:08;15.57;56.06
59;06/07/2023;17:38:06;17:38:09;14.21;51.14
61;06/07/2023;17:38:06;17:38:09;14.75;53.08
60;06/07/2023;17:38:08;17:38:11;15.63;56.27
59;06/07/2023;17:38:09;17:38:13;13.02;46.87
63;06/07/2023;17:38:10;17:38:14;8.32;29.96
64;06/07/2023;17:38:10;17:38:14;15.99;57.58
60;06/07/2023;17:38:11;17:38:15;13.17;47.42
59;06/07/2023;17:38:13;17:38:16;13.33;47.99
63;06/07/2023;17:38:14;17:38:17;11.86;42.70
64;06/07/2023;17:38:14;17:38:17;14.92;53.70
